diff_pattern_key,count,sample_target_fid,sample_target_master,sample_signature,sample_change_summary
GMST|Record Header:+;,4,3D008814|Oscuro's_Oblivion_Overhaul.esp|GMST|"""Record Header+"""
"NPC_|Record Header:+;INAM:+;CNAM:Spellsword ""Spellsword"" [CLAS:00->Nightblade ""Nightblade"" [CLAS:00;ZNAM:+;FNAM:45 7F->48 1D;",1,000148D5|Oblivion.esm|NPC_|"""Record Header+"",INAM+,CNAM,ZNAM+,FNAM"
NPC_|Record Header:+;FULL:Dremora Hatred Keeper->Hatred Keeper;ZNAM:+;,1,00014D5F|Oblivion.esm|NPC_|"""Record Header+"",FULL,ZNAM+"
NPC_|Record Header:+;FULL:Dremora Hatred Keeper->Hatred Keeper;ZNAM:DefaultArcher [CSTY:000CA389]->DefaultDremoraMissileOOO [CSTY:0;,1,00014D61|Oblivion.esm|NPC_|"""Record Header+"",FULL,ZNAM"
"NPC_|Record Header:+;CNAM:Battlemage ""Battlemage"" [CLAS:00->Battlemage ""Sorceror"" [CLAS:0002;FNAM:7E 34->B6 03;",2,000151FC|Oblivion.esm|NPC_|"""Record Header+"",CNAM,FNAM"
"NPC_|Record Header:+;SPLO:+;CNAM:Warrior ""Warrior"" [CLAS:00023787->Barbarian ""Barbarian"" [CLAS:0002;ENAM:+;FNAM:45 7F->48 1D;",1,00016058|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,ENAM+,FNAM"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.001000;ENAM:+;ZNAM:+;,1,0001605F|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM,ENAM+,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.521317->0.705679;ZNAM:+;,1,0001632B|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.460891->0.092200;ZNAM:+;,1,0001632C|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.409650->0.769463;ZNAM:+;,1,0001632D|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.467757->0.336741;ZNAM:+;,1,0001632E|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Guardian;SPLO:+;SCRI:+;LNAM:0.061129->0.061100;ZNAM:+;,1,0001632F|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.531999->0.532000;ZNAM:+;,1,00016330|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.666036->0.522100;ZNAM:+;,1,00016331|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.608570->0.188574;ENAM:+;ZNAM:+;,1,00016332|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ENAM+,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.940000->0.656972;ZNAM:+;,1,00016333|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.444258->0.554400;ZNAM:+;,1,00016334|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.701865->0.717948;ENAM:+;ZNAM:+;,1,00016335|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ENAM+,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.000000->0.138251;ZNAM:+;,1,00016336|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.591784->0.369274;ZNAM:+;,1,00016337|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.850276->0.426400;ZNAM:+;,1,00016338|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.104892->0.119236;ZNAM:+;,1,0001633B|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.529038->0.931394;ZNAM:+;,1,0001633C|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.415387->0.180059;ZNAM:+;,1,0001633D|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.786157->0.169988;ZNAM:+;,1,0001633E|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.682272->0.682300;ZNAM:+;,1,0001633F|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.000000->0.692434;ZNAM:+;,1,00016340|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.582324->0.919706;ZNAM:+;,1,00016341|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Guardian;SPLO:+;SCRI:+;LNAM:0.867092->0.533708;ZNAM:+;,1,00016342|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.920000->0.249886;ZNAM:+;,1,00016343|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.876064->0.987213;ZNAM:+;,1,00016344|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.506302->0.506300;ZNAM:+;,1,00016345|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.969115->0.969100;ZNAM:+;,1,00016346|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.248634->0.362133;ZNAM:+;,1,00016347|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.162267->0.162300;ZNAM:+;,1,00016348|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.045381->0.848476;ZNAM:+;,1,00016349|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.743584->1.000000;ZNAM:+;,1,0001634A|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SNAM:+;ENAM:+;ZNAM:+;,1,00016483|Oblivion.esm|NPC_|"""Record Header+"",SNAM+,ENAM+,ZNAM+"
"NPC_|Record Header:+;HNAM:DarkElfMane ""Windswept"" [HAIR:00->Cropped ""Cropped"" [HAIR:0018A891;LNAM:1.000000->0.153109;ZNAM:DefaultCombatRejectPCYield [CSTY->MannimarcoCS [CSTY:05003D62];",1,00016487|Oblivion.esm|NPC_|"""Record Header+"",HNAM,LNAM,ZNAM"
"NPC_|Record Header:+;CNAM:Sorcerer ""Sorcerer"" [CLAS:000237->Sorcerer ""Battlemage"" [CLAS:0002;LNAM:0.000000->0.488900;",1,00018C63|Oblivion.esm|NPC_|"""Record Header+"",CNAM,LNAM"
"NPC_|Record Header:+;CNAM:MerchAlchemist ""Alchemist"" [CLAS->Warlock ""Warlock"" [CLAS:00023E6D;LNAM:1.000000->0.937162;ZNAM:+;",1,0001C150|Oblivion.esm|NPC_|"""Record Header+"",CNAM,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.973052->0.431654;ZNAM:+;,1,0001C31F|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Guardian;SPLO:+;SCRI:+;LNAM:0.155400->0.112857;ZNAM:+;,1,0001C321|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.000977->0.060000;ZNAM:+;,1,0001C32A|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.819636->0.378124;ZNAM:+;,1,0001C32B|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.636525->0.444533;ZNAM:+;,1,0001C336|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.332316->0.496506;ZNAM:+;,1,0001C343|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;SCRI:+;HNAM:BretonTonsure ""Tonsure"" [HAIR:00->ImperialBald ""Thinning"" [HAIR:00;LNAM:0.664296->0.660000;ZNAM:+;",1,0001C347|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,HNAM,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.759697->0.793664;ZNAM:+;,1,0001C348|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.366405->0.986633;ZNAM:+;,1,0001C349|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.671834->0.252632;ZNAM:+;,1,0001C34A|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.319926->0.301523;ZNAM:+;,1,0001C34B|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.905209->0.562151;ZNAM:+;,1,0001C34C|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.196448->0.196400;ZNAM:+;,1,0001C455|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.625202->0.371654;ZNAM:+;,1,0001C456|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.000000->0.319700;ENAM:+;ZNAM:+;,1,0001C457|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ENAM+,ZNAM+"
"NPC_|Record Header:+;FULL:Priest of Arkay->Paladin of Arkay's Circle;SPLO:+;CNAM:Priest ""Priest"" [CLAS:00023785]->Crusader ""Crusader"" [CLAS:000237;",1,0001CE9F|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,CNAM"
"NPC_|Record Header:+;FULL:Priest of Arkay->Paladin of Arkay's Circle;SPLO:+;CNAM:Priest ""Priest"" [CLAS:00023785]->Crusader ""Crusader"" [CLAS:000237;ENAM:+;FNAM:45 7F->48 1D;",1,0001CEA8|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,CNAM,ENAM+,FNAM"
"NPC_|Record Header:+;FULL:Priest of Arkay->Paladin of Arkay's Circle;SPLO:+;CNAM:Priest ""Priest"" [CLAS:00023785]->Crusader ""Crusader"" [CLAS:000237;LNAM:0.000000->0.001000;",1,0001CEA9|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,CNAM,LNAM"
NPC_|Record Header:+;FULL:Priest of Arkay->Paladin of Arkay's Circle;SPLO:+;ENAM:+;,1,0001CEAA|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,ENAM+"
NPC_|Record Header:+;INAM:+;FNAM:5C 55->E6 21;,1,0001CF76|Oblivion.esm|NPC_|"""Record Header+"",INAM+,FNAM"
NPC_|Record Header:+;SCRI:+;LNAM:0.000000->0.223521;ENAM:+;ZNAM:NPCNecromancer [CSTY:000CA0D6]->NPCNecromancerCold [CSTY:050114B;,1,0001E5E5|Oblivion.esm|NPC_|"""Record Header+"",SCRI+,LNAM,ENAM+,ZNAM"
NPC_|Record Header:+;LNAM:0.000000->1.000000;,1,0001EC12|Oblivion.esm|NPC_|"""Record Header+"",LNAM"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.063582;ENAM:+;ZNAM:+;,1,0001EC37|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM,ENAM+,ZNAM+"
NPC_|Record Header:+;SPLO:+;LNAM:0.162786->0.436323;ENAM:+;ZNAM:+;,1,0001EC4A|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM,ENAM+,ZNAM+"
"NPC_|Record Header:+;SPLO:+;CNAM:BladeClass ""Blade Class"" [CLAS:0->BladeClass ""Blade"" [CLAS:0009348;",2,00020078|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM"
NPC_|Record Header:+;SCRI:+;FNAM:45 7F->48 1D;,1,000222AD|Oblivion.esm|NPC_|"""Record Header+"",SCRI+,FNAM"
NPC_|Record Header:+;ENAM:+;ZNAM:+;FNAM:45 7F->48 1D;,3,000222B8|Oblivion.esm|NPC_|"""Record Header+"",ENAM+,ZNAM+,FNAM"
NPC_|Record Header:+;LNAM:0.000000->0.256024;FNAM:45 7F->48 1D;,1,000223AB|Oblivion.esm|NPC_|"""Record Header+"",LNAM,FNAM"
NPC_|Record Header:+;SPLO:+;LNAM:1.000000->0.085500;,1,000234A7|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM"
NPC_|Record Header:+;SPLO:+;SCRI:+;ZNAM:+;,11,000234A9|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,ZNAM+"
NPC_|Record Header:+;LNAM:0.768300->0.354625;,1,000234AD|Oblivion.esm|NPC_|"""Record Header+"",LNAM"
NPC_|Record Header:+;ENAM:+;,11,000234AE|Oblivion.esm|NPC_|"""Record Header+"",ENAM+"
NPC_|Record Header:+;FNAM:5C 55->E6 21;,3,000234BB|Oblivion.esm|NPC_|"""Record Header+"",FNAM"
"NPC_|Record Header:+;CNAM:Sorcerer ""Sorcerer"" [CLAS:000237->Sorcerer ""Battlemage"" [CLAS:0002;ZNAM:+;",2,000234BC|Oblivion.esm|NPC_|"""Record Header+"",CNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.000000->0.273795;ENAM:+;,1,000234BE|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ENAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;,3,000234C1|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+"
"NPC_|Record Header:+;SPLO:+;CNAM:BladeClass ""Blade Class"" [CLAS:0->BladeClass ""Blade"" [CLAS:0009348;LNAM:0.000000->0.496630;ENAM:+;FNAM:45 7F->48 1D;",1,00023999|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,LNAM,ENAM+,FNAM"
"NPC_|Record Header:+;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;LNAM:0.000000->0.806546;",1,00023E35|Oblivion.esm|NPC_|"""Record Header+"",RNAM,LNAM"
NPC_|Record Header:+;LNAM:1.000000->0.238100;FNAM:45 7F->48 1D;,1,00023E36|Oblivion.esm|NPC_|"""Record Header+"",LNAM,FNAM"
NPC_|Record Header:+;INAM:+;FNAM:45 7F->48 1D;,1,00023E39|Oblivion.esm|NPC_|"""Record Header+"",INAM+,FNAM"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.268873;,1,00023F2A|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM"
NPC_|Record Header:+;LNAM:0.000000->0.517840;ZNAM:+;,1,00024166|Oblivion.esm|NPC_|"""Record Header+"",LNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;SCRI:+;HNAM:OrcTopknot ""Topknot"" [HAIR:00064->OrcTwoBraids ""War Braids"" [HAIR:;LNAM:1.000000->0.000000;ENAM:+;ZNAM:+;",1,00024167|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,HNAM,LNAM,ENAM+,ZNAM+"
NPC_|Record Header:+;LNAM:0.000000->0.291744;,1,000251CE|Oblivion.esm|NPC_|"""Record Header+"",LNAM"
"NPC_|Record Header:+;SPLO:+;CNAM:Archer ""Archer"" [CLAS:0002378B]->Sorcerer ""Battlemage"" [CLAS:0002;ZNAM:+;",1,00026B4D|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;CNAM:Warrior ""Warrior"" [CLAS:00023787->OscuroUOPMQ11Allies ""MQ11 Allies;LNAM:0.398114->0.398100;ZNAM:+;",1,00026EB4|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,LNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;CNAM:Warrior ""Warrior"" [CLAS:00023787->OscuroUOPMQ11Allies ""MQ11 Allies;ZNAM:+;",2,00026F0D|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;CNAM:Warrior ""Warrior"" [CLAS:00023787->OscuroUOPMQ11Allies ""MQ11 Allies;LNAM:0.157567->0.571795;ZNAM:+;",1,00026F20|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,LNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;CNAM:Warrior ""Warrior"" [CLAS:00023787->KvatchSoldier ""Kvatch Guard"" [CL;ZNAM:+;",1,000270F6|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.768370;,1,00028007|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM"
"NPC_|Record Header:+;SPLO:+;CNAM:Warrior ""Warrior"" [CLAS:00023787->KvatchSoldier ""Kvatch Guard"" [CL;LNAM:0.000000->0.001000;",1,00028036|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,LNAM"
NPC_|Record Header:+;SPLO:+;LNAM:0.480000->0.880300;,1,000280C8|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM"
NPC_|Record Header:+;ZNAM:+;FNAM:5C 55->E6 21;,1,00028F9D|Oblivion.esm|NPC_|"""Record Header+"",ZNAM+,FNAM"
"NPC_|Record Header:+;FULL:Janus Hassildor->Count Janus Hassildor;INAM:+;CNAM:Noble ""Noble"" [CLAS:00023E63]->JanusMageClass ""Janus Mage Class;LNAM:0.000000->0.001000;ZNAM:+;",1,00028FAE|Oblivion.esm|NPC_|"""Record Header+"",FULL,INAM+,CNAM,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;ENAM:+;ZNAM:+;,4,000293D5|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,ENAM+,ZNAM+"
"NPC_|Record Header:+;CNAM:Sorcerer ""Sorcerer"" [CLAS:000237->Sorcerer ""Battlemage"" [CLAS:0002;LNAM:1.000000->0.183900;",1,000293ED|Oblivion.esm|NPC_|"""Record Header+"",CNAM,LNAM"
NPC_|Record Header:+;SPLO:+;LNAM:1.000000->0.783532;,1,000294C3|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM"
"NPC_|Record Header:+;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;SPLO:+;LNAM:0.000000->0.824742;ENAM:+;",1,0002AF3E|Oblivion.esm|NPC_|"""Record Header+"",RNAM,SPLO+,LNAM,ENAM+"
"NPC_|Record Header:+;CNAM:Spellsword ""Spellsword"" [CLAS:00->Nightblade ""Nightblade"" [CLAS:00;ENAM:+;FNAM:45 7F->48 1D;",1,0002AF42|Oblivion.esm|NPC_|"""Record Header+"",CNAM,ENAM+,FNAM"
NPC_|Record Header:+;LNAM:0.000000->0.536098;ZNAM:+;,1,0002C623|Oblivion.esm|NPC_|"""Record Header+"",LNAM,ZNAM+"
"NPC_|Record Header:+;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;LNAM:0.887051->0.887100;ZNAM:+;",1,0002CA36|Oblivion.esm|NPC_|"""Record Header+"",RNAM,LNAM,ZNAM+"
NPC_|Record Header:+;LNAM:0.000000->0.117258;ZNAM:+;,1,0002CB2D|Oblivion.esm|NPC_|"""Record Header+"",LNAM,ZNAM+"
NPC_|Record Header:+;SCRI:+;ZNAM:+;FNAM:5C 55->E6 21;,1,0002CD1E|Oblivion.esm|NPC_|"""Record Header+"",SCRI+,ZNAM+,FNAM"
"NPC_|Record Header:+;CNAM:Spellsword ""Spellsword"" [CLAS:00->BANUOPTrainerSpellsword ""Spellsw;ENAM:+;",1,0002CD1F|Oblivion.esm|NPC_|"""Record Header+"",CNAM,ENAM+"
"NPC_|Record Header:+;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;LNAM:0.000000->0.001000;ZNAM:+;",1,0002D01E|Oblivion.esm|NPC_|"""Record Header+"",RNAM,LNAM,ZNAM+"
NPC_|Record Header:+;SCRI:+;LNAM:0.000000->0.001000;,2,0002D020|Oblivion.esm|NPC_|"""Record Header+"",SCRI+,LNAM"
"NPC_|Record Header:+;CNAM:Sorcerer ""Sorcerer"" [CLAS:000237->Sorcerer ""Battlemage"" [CLAS:0002;",3,0002D022|Oblivion.esm|NPC_|"""Record Header+"",CNAM"
NPC_|Record Header:+;LNAM:0.000000->0.735619;,1,0002D71F|Oblivion.esm|NPC_|"""Record Header+"",LNAM"
NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.062577;ZNAM:+;,1,0002FB2B|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;ENAM:+;,2,0002FF2A|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,ENAM+"
"NPC_|Record Header:+;RNAM:Khajiit ""Khajiit"" [RACE:000223C7->Khajiit ""Khajiit Cathay"" [RACE:0;ENAM:+;",1,00030148|Oblivion.esm|NPC_|"""Record Header+"",RNAM,ENAM+"
"NPC_|Record Header:+;CNAM:Battlemage ""Battlemage"" [CLAS:00->Battlemage ""Sorceror"" [CLAS:0002;LNAM:0.000000->0.001000;ZNAM:+;",1,00030196|Oblivion.esm|NPC_|"""Record Header+"",CNAM,LNAM,ZNAM+"
NPC_|Record Header:+;LNAM:0.000000->0.163663;ZNAM:+;,1,000301C4|Oblivion.esm|NPC_|"""Record Header+"",LNAM,ZNAM+"
"NPC_|Record Header:+;SPLO:+;CNAM:Guard ""Guard"" [CLAS:00034E6E]->aatGuardLight ""Guard"" [CLAS:C301;LNAM:0.000000->0.001000;ZNAM:+;",1,00031C23|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,CNAM,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.213996->0.526780;ZNAM:+;,1,00032AEC|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Guardian;SPLO:+;SCRI:+;LNAM:0.919401->0.200140;ZNAM:+;,1,00032AED|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.649586->0.123814;ZNAM:+;,1,00032AEE|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.528245->0.713200;ZNAM:+;,1,00032AF0|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.743187->0.853999;ZNAM:+;,1,00032AF1|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.613500->0.432478;ZNAM:+;,1,00032AF2|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.840205->0.810200;ZNAM:+;,1,00032AF5|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.457717->0.986297;ZNAM:+;,1,00032AF6|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;FULL:Imperial Watch->Imperial Warder;SPLO:+;SCRI:+;LNAM:0.763146->0.886380;ZNAM:+;,1,00032AF7|Oblivion.esm|NPC_|"""Record Header+"",FULL,SPLO+,SCRI+,LNAM,ZNAM+"
NPC_|Record Header:+;SPLO:+;SCRI:+;LNAM:0.179724->0.438459;ZNAM:+;,1,00032AF8|Oblivion.esm|NPC_|"""Record Header+"",SPLO+,SCRI+,LNAM,ZNAM+"
